grade,total_net_return,net_return_pct,default_rate_pct,avg_int_rate
A,173872221.30920666,5.323782632863787,6.04,7.113039431709375
B,270273347.8179809,5.198602152071713,13.39,10.679129222565477
C,147873090.10096994,2.73053973738375,22.44,14.021234208229377
D,15054009.074387753,0.4905126578972782,30.38,17.721618139562178
E,-22554368.71071498,-1.3669893476526416,38.48,21.138085958354118
F,-24674887.92336809,-4.032443862610055,45.2,24.934785077047287
G,-16483551.90881392,-8.767055160212989,49.93,27.72593845816883
