grade,total_loans,default_loans,PD,EAD,LGD,EL
G,9132,4560,0.49934296977660975,17592.0688377193,0.890673207558687,7824.097324741361
F,32058,14491,0.4520244556740907,16135.187769650127,0.8881069619650646,6477.407655307883
E,93650,36035,0.38478376935397757,14195.299203274595,0.8905750363019581,4864.428371451768
D,200953,61054,0.30382228680338186,11839.58158974023,0.8934869094816607,3213.987452874135
C,381686,85649,0.2243964934527334,10313.238435591775,0.8935888806581272,2067.9921249294825
B,392741,52569,0.1338515713918333,8655.24500523122,0.8947424325384925,1036.5753429570573
A,235090,14201,0.06040665277127909,8097.974273642701,0.8967070951761342,438.6435728305863
