grade,total_loans,default_loans,PD,EAD,LGD
G,9132,4560,0.49934296977660975,80219833.9,0.890673207558687
F,32058,14491,0.4520244556740907,233815005.97,0.8881069619650646
E,93650,36035,0.38478376935397757,511527606.79,0.8905750363019581
D,200953,61054,0.30382228680338186,722853814.38,0.8934869094816607
C,381686,85649,0.2243964934527334,883318558.77,0.8935888806581272
B,392741,52569,0.1338515713918333,454997574.68,0.8947424325384925
A,235090,14201,0.06040665277127909,114999332.66,0.8967070951761342
